City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
143,manta,-0.95,-80.7333,29.88,66,40,6.17,EC,1715035505
144,san antonio de pale,-1.4014,5.6325,28.0,79,93,7.6,GQ,1715035505
145,ust'-ilimsk,58.0006,102.6619,6.91,79,6,4.02,RU,1715035497
146,bamboo flat,11.7,92.7167,28.14,78,34,0.47,IN,1715035505
147,uchiza,-8.4592,-76.4633,26.27,76,40,1.14,PE,1715035506
148,keflavik,64.0049,-22.5624,4.95,87,40,7.2,IS,1715035399
149,slutsk,53.0274,27.5597,11.27,95,100,2.88,BY,1715035506
150,morondava,-20.2833,44.2833,23.05,58,0,3.32,MG,1715035506
151,divnogorsk,55.9594,92.3619,4.3,88,20,1.6,RU,1715035506
152,udachny,66.4167,112.4,-0.31,98,97,9.17,RU,1715035506
153,tadine,-21.55,167.8833,24.37,60,5,5.26,NC,1715035506
154,thompson,55.7435,-97.8558,17.09,36,75,1.54,CA,1715035506
155,saint-pierre,-21.3393,55.4781,21.82,68,0,3.6,RE,1715035395
156,port lincoln,-34.7333,135.8667,15.37,82,0,2.89,AU,1715035383
157,nagqu,31.5,92.0,-0.4,68,65,2.1,CN,1715035507
158,alice springs,-23.7,133.8833,10.75,82,89,2.57,AU,1715035507
159,sao jose da coroa grande,-8.8978,-35.1478,25.92,90,100,3.52,BR,1715035507
160,uglegorsk,49.0833,142.0333,3.11,91,100,3.31,RU,1715035507
161,kourou,5.1552,-52.6478,28.03,92,100,3.09,GF,1715035507
162,pangani,-5.4333,38.9667,24.32,91,95,2.93,TZ,1715035507
163,rexburg,43.826,-111.7897,12.73,52,100,5.14,US,1715035508
164,beihai,21.4833,109.1,24.3,93,22,3.85,CN,1715035508
165,kembe,4.6228,21.8865,25.18,55,15,0.76,CF,1715035508
166,kruisfontein,-34.0033,24.7314,15.06,80,1,2.34,ZA,1715035508
167,malango,-2.9627,119.9001,20.6,97,99,0.68,ID,1715035508
168,ceelbuur,4.685,46.6176,28.69,70,96,6.48,SO,1715035508
169,severnoye,56.3491,78.3619,3.32,58,34,2.68,RU,1715035508
170,okhotsk,59.3833,143.3,2.27,87,74,2.2,RU,1715035508
171,novodvinsk,64.4165,40.8122,-2.34,73,96,0.96,RU,1715035416
172,sant cristofol de les fonts,42.1696,2.4994,13.15,87,93,0.27,ES,1715035509
173,saynshand,44.8824,110.1163,16.53,18,25,1.38,MN,1715035412
174,castillos,-34.1667,-53.8333,19.06,98,100,1.26,UY,1715035509
175,tual,-5.6667,132.75,27.21,84,100,6.62,ID,1715035509
176,el-tor,28.2364,33.6254,23.08,68,0,5.66,EG,1715035509
177,nabire,-3.3667,135.4833,26.91,86,99,0.85,ID,1715035380
178,alesund,62.4723,6.1549,10.97,98,100,4.63,NO,1715035509
179,blackmans bay,-43.0167,147.3167,8.07,90,8,0.45,AU,1715035509
180,bonthe,7.5264,-12.505,27.92,81,54,2.36,SL,1715035509
181,kone,-21.0595,164.8658,25.98,49,5,1.96,NC,1715035510
182,saskatoon,52.1168,-106.6345,10.99,87,100,6.71,CA,1715035366
183,mount isa,-20.7333,139.5,20.87,40,44,4.63,AU,1715035510
184,cafayate,-26.073,-65.9761,23.09,19,1,2.57,AR,1715035229
185,wanning,18.8003,110.3967,25.54,90,97,0.73,CN,1715035510
186,laem sing,12.4816,102.0738,26.19,83,64,3.05,TH,1715035510
187,sambava,-14.2667,50.1667,22.99,88,99,4.52,MG,1715035510
188,st. john's,47.5649,-52.7093,7.38,68,100,1.34,CA,1715035502
189,geidam,12.897,11.9304,33.03,15,66,2.64,NG,1715035511
190,laurens,32.4502,-82.9165,30.24,42,0,2.57,US,1715035511
191,kyaikkami,16.08,97.5675,29.71,75,1,2.14,MM,1715035511
192,olyokminsk,60.3736,120.4264,6.78,91,100,3.03,RU,1715035511
193,tilcara,-23.5776,-65.3509,13.07,14,0,5.24,AR,1715035511
194,howard springs,-12.497,131.047,23.95,81,91,2.89,AU,1715035511
195,warmbad,-28.45,18.7333,21.44,30,0,2.81,NA,1715035511
196,victoria point,-27.5833,153.3,21.2,89,35,1.34,AU,1715035420
197,pariaman,-0.619,100.12,26.03,86,100,1.57,ID,1715035511
198,luena,-11.7833,19.9167,16.37,63,1,1.03,AO,1715035512
199,terenozek,45.05,64.9833,17.29,50,25,1.73,KZ,1715035512
200,cam ranh,11.9214,109.1591,25.98,94,20,1.54,VN,1715035512
201,college,64.8569,-147.8028,1.18,88,100,3.6,US,1715035512
202,sinabang,2.4803,96.3801,25.72,92,100,2.13,ID,1715035387
203,papatowai,-46.5619,169.4708,10.25,72,72,5.97,NZ,1715035396
204,papao,-17.75,-149.55,29.82,83,61,10.42,PF,1715035512
205,howrah,22.5892,88.3103,23.0,100,100,3.09,IN,1715035513
206,alofi,-19.0595,-169.9187,28.94,89,75,3.6,NU,1715035513
207,benghazi,32.1167,20.0667,18.61,62,0,4.12,LY,1715035513
208,ketou,7.3633,2.5998,26.28,85,99,1.9,BJ,1715035513
209,sao vicente,-23.9631,-46.3919,33.1,26,0,1.05,BR,1715035411
210,cassia,-20.5831,-46.9219,19.12,74,0,0.95,BR,1715035513
211,olonkinbyen,70.9221,-8.7187,0.3,96,100,7.38,SJ,1715035513
212,nemuro,43.3236,145.575,6.87,100,100,4.09,JP,1715035513
213,butembo,0.15,29.2833,15.32,90,58,1.44,CD,1715035514
214,ndele,8.4109,20.6473,27.71,23,22,1.09,CF,1715035514
215,zambezi,-13.5432,23.1047,20.35,64,19,2.7,ZM,1715035514
216,karoi,-16.8099,29.6925,16.49,62,0,2.23,ZW,1715035514
217,lihue,21.9789,-159.3672,27.58,67,20,7.72,US,1715035514
218,sidney,-33.8679,151.2073,16.88,86,75,3.09,AU,1715035416
219,ust-nera,64.5667,143.2,2.78,82,39,2.67,RU,1715035380
220,andovoranto,-18.95,49.1,20.79,88,14,2.86,MG,1715035515
221,horishni plavni,49.0097,33.6455,14.48,50,83,6.93,UA,1715035515
222,kailua-kona,19.6406,-155.9956,26.98,78,40,5.14,US,1715035515
223,sangre grande,10.5835,-61.1177,29.98,100,98,3.09,TT,1715035515
224,kuantan,3.8077,103.326,26.06,94,20,0.51,MY,1715035515
225,cody,44.5263,-109.0565,10.9,49,100,7.15,US,1715035490
226,ulladulla,-35.35,150.4667,14.7,81,96,2.62,AU,1715035515
227,colonia,50.9333,6.95,13.87,93,75,2.57,DE,1715035515
228,champerico,14.3,-91.9167,31.3,70,11,4.89,GT,1715035516
229,argo,37.6333,22.7333,15.85,65,51,1.7,GR,1715035401
230,valley city,46.9233,-98.0032,19.29,72,100,10.29,US,1715035516
231,nyurba,63.2842,118.3319,3.72,100,100,6.4,RU,1715035516
232,chambersburg,39.9376,-77.6611,22.14,80,100,0.77,US,1715035516
233,abalak,58.1286,68.5944,7.97,38,100,2.07,RU,1715035516
234,ubinskoye,55.3068,79.6802,2.59,57,6,3.66,RU,1715035516
235,porto novo,6.4965,2.6036,28.9,79,100,2.81,BJ,1715035516
236,atafu village,-8.5421,-172.5159,29.88,75,42,5.23,TK,1715035396
237,kismayo,-0.3582,42.5454,27.13,85,100,5.4,SO,1715035517
238,walvis bay,-22.9575,14.5053,14.53,94,0,2.57,NA,1715035517
239,flying fish cove,-10.4217,105.6791,25.82,88,75,5.14,CX,1715035517
240,tisul',55.7611,88.3122,3.05,88,55,2.16,RU,1715035517
241,arvada,39.8028,-105.0875,14.69,29,75,15.95,US,1715035474
242,holualoa,19.6228,-155.9522,24.91,78,40,5.14,US,1715035517
243,caninde,-4.3589,-39.3117,23.5,87,100,0.2,BR,1715035517
244,aykhal,66.0,111.5,0.06,97,96,9.47,RU,1715035517
245,zaysan,47.4667,84.8667,10.31,76,100,1.41,KZ,1715035518
246,chibougamau,49.9168,-74.3659,9.79,66,20,7.72,CA,1715035518
247,harstad,68.799,16.5293,1.56,89,49,8.05,NO,1715035413
248,la ronge,55.1001,-105.2842,14.14,51,100,3.6,CA,1715035518
249,kirensk,57.7853,108.1119,9.42,71,95,4.47,RU,1715035518
250,peniche,39.3558,-9.3811,13.95,86,3,8.15,PT,1715035518
251,marsh harbour,26.5412,-77.0636,24.16,75,2,7.31,BS,1715035518
252,berezovyy,51.6667,135.7,8.62,50,7,0.84,RU,1715035432
253,bengaluru,12.9762,77.6033,23.8,73,40,3.09,IN,1715035519
254,midvagur,62.0511,-7.1939,6.46,81,75,2.57,FO,1715035409
255,lashio,22.9333,97.75,18.61,67,89,0.92,MM,1715035519
256,dickinson,29.4608,-95.0513,29.51,83,75,8.75,US,1715035498
257,pisco,-13.7,-76.2167,22.03,78,0,5.66,PE,1715035266
258,santa cruz,-17.8,-63.1667,28.7,65,40,6.69,BO,1715035420
259,aden,12.7794,45.0367,29.51,77,33,3.9,YE,1715035519
260,saipan,15.1355,145.701,30.39,66,75,4.63,MP,1715035519
261,kargasok,59.0556,80.8572,2.76,69,29,4.47,RU,1715035520
262,iquitos,-3.7481,-73.2472,29.02,84,75,0.51,PE,1715035520
263,saint-joseph,-21.3667,55.6167,21.21,80,23,6.25,RE,1715035384
264,al burayqah,30.4062,19.5739,18.66,73,0,3.34,LY,1715035520
265,mungwi,-10.1732,31.3694,16.86,94,31,1.73,ZM,1715035520
266,la'ie,21.6477,-157.9253,26.98,74,33,2.68,US,1715035520
267,hadibu,12.65,54.0333,29.13,75,65,2.61,YE,1715035520
268,nadi,-17.8,177.4167,29.0,70,75,3.6,FJ,1715035520
269,hengchun,22.0042,120.7439,27.29,77,99,3.56,TW,1715035521
270,libreville,0.3925,9.4537,29.01,89,40,5.14,GA,1715035521
271,overath,50.9328,7.2839,13.55,90,75,2.57,DE,1715035521
272,east ballina,-28.8667,153.5833,17.67,80,56,8.8,AU,1715035521
273,happy valley-goose bay,53.3168,-60.3315,12.17,47,75,2.57,CA,1715035243
274,funafuti,-8.5243,179.1942,32.0,74,40,2.57,TV,1715035521
275,atar,20.5169,-13.0499,32.17,9,80,2.39,MR,1715035521
276,east london,-33.0153,27.9116,21.76,52,0,0.5,ZA,1715035507
277,hawaiian paradise park,19.5933,-154.9731,24.46,91,100,6.69,US,1715035522
278,pimentel,-6.8367,-79.9342,22.16,73,0,10.29,PE,1715035522
279,cidreira,-30.1811,-50.2056,22.46,79,3,0.56,BR,1715035376
280,baiti,13.745,-14.7482,31.14,26,8,7.14,SN,1715035522
281,inari,68.906,27.0288,-1.69,94,96,3.54,FI,1715035522
282,shalqar,47.8333,59.6,8.31,80,69,3.12,KZ,1715035523
283,kargopol',61.5071,38.9456,-4.08,83,61,1.15,RU,1715035523
284,port augusta,-32.5,137.7667,15.36,56,0,2.85,AU,1715035391
285,beira,-19.8436,34.8389,21.05,88,0,1.54,MZ,1715035523
286,anadyr,64.75,177.4833,-3.72,93,0,2.0,RU,1715035523
287,guerrero negro,27.9769,-114.0611,18.32,58,23,8.83,MX,1715035479
288,vorkuta,67.5,64.0,-18.27,100,91,1.34,RU,1715035523
289,tura,25.5198,90.2201,20.35,95,100,1.6,IN,1715035523
290,baiculesti,45.0667,24.7,10.94,82,14,1.92,RO,1715035523
291,badajoz,38.6667,-6.1667,13.85,64,1,2.52,ES,1715035524
292,bodo,67.28,14.405,5.43,58,0,5.14,NO,1715035524
293,chilecito,-29.1619,-67.4974,17.82,34,0,2.05,AR,1715035524
294,as sulayyil,20.4607,45.5779,30.14,19,5,4.75,SA,1715035524
295,kirksville,40.1948,-92.5833,22.25,74,20,6.69,US,1715035287
296,independencia,-5.3964,-40.3086,23.62,72,100,1.4,BR,1715035524
297,valparaiso,-33.0393,-71.6273,14.13,58,0,3.09,CL,1715035507
298,anzio,41.4853,12.6179,17.47,79,95,5.38,IT,1715035524
299,necochea,-38.5473,-58.7368,11.17,72,0,4.04,AR,1715035484
300,adelaide,-34.9333,138.6,18.28,61,0,2.24,AU,1715035502
301,argostolion,38.1811,20.489,17.64,39,82,1.64,GR,1715035525
302,saldanha,-33.0117,17.9442,14.03,93,7,5.07,ZA,1715035525
303,west end,26.6833,-78.9667,26.99,69,0,4.22,BS,1715035255
304,haiku-pauwela,20.9219,-156.3051,27.34,80,40,11.83,US,1715035525
305,pasni,25.2631,63.471,27.85,64,0,3.73,PK,1715035448
